channel_name,leaning,channel_id
bbc,L,UCCj956IF62FbT7Gouszaj9w
bloomberg,R,UCUMZ7gohGI9HcU9VNsr2FJQ
business insider,C,UCcyq283he07B7_KUX07mmtA
c-span,L,UCb--64Gl51jIEVE-GLDAVTg
cbs,R,UClzCn8DxRSCuMFv_WfzkcrQ
cheddar,R,UC04KsGq3npibMCE9Td3mVDg
chicago tribune,C,UCB2aea_wLJJaklTOplAC82A
cnbc,C,UCvJJ_dzjViJCoLf5uKUTwoA
cnn,L,UCupvZG-5ko_eiXAupbDfxWw
daily mail,R,UCw3fku0sH3qA3c3pZeJwdAw
financial times,R,UCoUxsWakJucWg46KW5RsvPw
fox,R,UCYHoYHae2IVS9TNvfK4ocEQ
fusion,R,UCd2QBrKT_GzjlsMOX4lLHOQ
kqed,C,UCeC0IOo7i1P_61zVUWbJ4nw
miami herald,L,UC7Ij5ZCf2E9GmZ86cIw3vVg
msnbc,L,UCaXkIU1QidjPwiAYu6GcHjg
nbc,L,UCccjdJEay2hpb5scz61zY6Q
ndtv,R,UCZFMm1mMw0F81Z37aaEzTUA
new york post,R,UCrvhNP_lWuPIP6QZzJmM-bw
newsy,R,UCTln5ss6h6L_xNfMeujfPbg
npr,L,UCJnS2EsPfv46u1JR8cnD0NA
pbs,L,UCgyeJxD05YnoDquRMNBfBqw
pbs newshour,C,UC6ZFN9Tx6xh-skXCuRHCDpQ
propublica,C,UCtCL58_DaVdVRmev3yHK7pg
tallahassee democrat,C,UCNKXyYLaeOJIAnuzBbLbS0Q
the atlantic,L,UCK0z0_5uL7mb9IjntOKi5XQ
the economist,R,UC0p5jTq6Xx_DosDFxVXnWaQ
the guardian,L,UCHpw8xwDNhU9gdohEcJu4aA
the hill,R,UCPWXiRWZ29zrxPFIQT7eHSA
the new yorker,L,UCsD-Qms-AkXDrsU962OicLw
the young turks,L,UC1yBKRuGpC1tSM73A0ZjYjQ
time,L,UC8Su5vZCXWRag13H53zWVwA
usa today,C,UCP6HGa63sBC7-KHtkme-p-g
vanity fair,L,UCIsbLox_y9dCIMLd8tdC6qg
vice,L,UCn8zNIfYAQNdrFRrr8oibKw
vox,L,UCLXo7UDZvByw2ixzpQCufnA
wall street journal,R,UCK7tptUDHh-RYDsdxO1-5QQ
washington post,L,UCHd62-u_v4DvJ8TCFtpi4GA
1 news,R,UCxPAYgO8OpFev3PUTKbsxNw
24 news,L,UCup3etEdjyF1L3sRbU-rKLw
9news,R,UC72nbKQLSDyiSARhg0Ywj4w
a&e,C,UCNIFiHaLZkYASaWDdkC1njg
abc news,R,UCBi2mrWuNuyYy4gbM6fU18Q
