channel_id,channel_title,leaning,channel_country,channel_subscribercount,channel_videocount,channel_topic_ids,pR_vid,pR_usr
UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,L,US,4229161,34672,"['/m/05qt0', '/m/05qt0', '/m/098wr']",0,0.20285678445291105
UCsqjHFMB_JYTaEnf_vmTNqg,Doug DeMuro,L,not set,2255404,338,"['/m/07yv9', '/m/019_rr']",NA,NA
UCldfgbzNILYZA4dmDt4Cd6A,Secular Talk,L,not set,607515,12139,"['/m/05qt0', '/m/05qt0', '/m/098wr']",0,0.16517981398770432
UCgRvm1yLFoaQKhmaTqXk9SA,NowThis World,L,US,1919819,1360,"['/m/098wr', '/m/098wr', '/m/05qt0']",NA,NA
UCjNxszyFPasDdRoD9J6X-sw,Amazing Atheist,L,US,1031596,1583,"['/m/098wr', '/m/06bvp', '/m/02jjt']",NA,NA
UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,L,US,536287,18083,"['/m/05qt0', '/m/098wr']",0,0.20456342251366733
UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder,L,not set,409776,11107,"['/m/05qt0', '/m/05qt0', '/m/098wr']",0,0.18784433943106546
UCzuqE7-t13O4NIDYJfakrhw,Democracy Now!,L,not set,436954,9499,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UChwwoeOZ3EJPobW83dgQfAg,WeAreChange,L,US,539015,1921,"['/m/098wr', '/m/098wr']",NA,NA
UCrmm_7RDZJeQzq2-wvmjueg,TheRealNews,L,US,257173,11953,"['/m/05qt0', '/m/098wr']",0,0.2405995515597412
UCqVeMUffsoeo9idMRcse0lQ,wwwMOXNEWScom,L,not set,101956,8042,"['/m/05qt0', '/m/098wr']",NA,NA
UCqPKOi9bksw0pNS0KsJ9tDQ,LiberalViewer,L,US,116306,917,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UCprs0DXUS-refN1i8FkQkdg,The Atheist Experience,L,US,240962,1965,"['/m/06bvp', '/m/098wr']",NA,NA
UCuMo0RRtnNDuMB8DV5stEag,Rebel HQ,L,US,185427,3253,"['/m/05qt0', '/m/05qt0', '/m/098wr', '/m/02jjt']",NA,NA
UCi6qcUqmvSkcHeYxZmcJ9kQ,Xtra,L,CA,80999,1588,"['/m/02jjt', '/m/098wr']",NA,NA
UCZlRXXmbC4Phk8x4G7tm26A,Vasile Iuga,L,RO,107794,82,"['/m/01h6rj', '/m/098wr']",NA,NA
UCDB5XReUyyqt-FTNdkzFN-A,H. A. Goodman,L,not set,129221,3142,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,L,FR,392893,742,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UCMXqRHe8n1TX5iDvkLS62rw,RWW Blog,L,not set,41693,5876,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UC93zV_5pWTkMzEhr5nxRnWA,Thinnk Aloud,L,IN,91631,71,"['/m/019_rr', '/m/098wr']",NA,NA
UC7Q4rvzJDbHeBHYk5rnvZeA,The Humanist Report,L,US,192514,2006,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UCv1WDP5EiipMQ__C4Cg6aow,Tilo Jung,L,not set,163317,2288,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UCD_DaKNac0Ta-2PeHuoQ1uA,Senator Bernie Sanders,L,not set,142792,1433,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UCc4iogeOUXNw1RZSNTOlMeg,Corey Gil-Shuster,L,IL,109801,738,"['/m/098wr', '/m/06bvp']",NA,NA
UCzn8AgRWkAPWLEQ1Fvk2RBQ,AngryAussie,L,AU,28900,2528,"['/m/02jjt', '/m/098wr', '/m/019_rr']",NA,NA
UC2Xd902w9u5_2oa7SHFSvZw,breakingtheset,L,not set,186064,1600,"['/m/098wr', '/m/098wr', '/m/05qt0']",NA,NA
UCEHsSWvrGVSIA63OV3J6vhA,StormCloudsGathering,L,not set,511124,127,"['/m/098wr', '/m/098wr']",NA,NA
UCeYP27qLtfUMY1b1Cyy3WdQ,TheThinkingAtheist,L,not set,273034,655,"['/m/06bvp', '/m/098wr']",NA,NA
UCYv_csqWJTSfQK3vOZDJKQw,Sustainable Human,L,US,66184,55,"['/m/098wr', '/m/04rlf']",NA,NA
UCaV101EM1QayFkP0E7zwXCg,South Front,L,not set,112230,1441,"['/m/01h6rj', '/m/098wr']",NA,NA
UCTRC1FM_wpu6iYrDOks7Ukw,ScottCunningham,L,not set,4750,84,"['/m/02jjt', '/m/098wr']",NA,NA
UC_70iWZ6ym2cglS_kv5YfmA,mediamatters4america,L,not set,53051,1038,"['/m/05qt0', '/m/098wr']",NA,NA
UCH1dpzjCEiGAt8CXkryhkZg,Bernie Sanders,L,US,127519,573,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UC4N_YN5XKlLEblaqc34JhhA,Karina Kaboom,L,not set,110278,747,['/m/019_rr'],NA,NA
UCzSq7O3MmG-EF0Gq68uSjPw,PressTVUK Videos,L,GB,18450,2140,"['/m/05qt0', '/m/098wr']",NA,NA
UCbNYBIHgdRw5LX_NK5-9qDA,КПРФ ТВ,L,RU,54261,4580,"['/m/05qt0', '/m/05qt0', '/m/098wr']",NA,NA
UC8kf0zcrJkz7muZg2C_J-XQ,Angry Foreigner,L,SE,213349,206,['/m/098wr'],NA,NA
UCIAXaU6LIcZyoHYWqVLM4wg,TYT Nation,L,US,92852,5707,"['/m/05qt0', '/m/05qt0', '/m/098wr']",0,0.15299251448572185
UCQNBqTk8WcpYPgp9V8kj6hw,Habiba Da Silva,L,GB,477468,235,"['/m/019_rr', '/m/032tl']",NA,NA
UCyvaZ2RHEDrgKXz43gz7CbQ,Redacted Tonight,L,US,182728,1668,"['/m/02jjt', '/m/05qt0', '/m/098wr']",NA,NA
