depth,query,recommendations,root_video,scrape_date,search,search_depth,search_splits,video_id
2,,"['COCjvUYGHNs', 'lFu53kb89-0', 'yXAtxbHEVZQ']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,-d_HA2AYvus
0,,"['s331U0gBKQI', '0hX_msLfx6M', 'UeF_6UisoA0']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,-nKhaM1bstA
1,,"['9XDCT0hPUbE', '-d_HA2AYvus', 'dpc6HJXfaA4']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,0hX_msLfx6M
4,,['h9FWIM5LnlY'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,1I1u2Jw_W44
6,,['_lcPhyMb5cc'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,1Yp91zKBGgY
5,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,1z27bwyZ_-o
2,,"['KtmZnxszvLo', 'COCjvUYGHNs', 'kPlyqcarqpw']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,53m5UAzhphM
5,,"['RhwLe-f5rYY', 't1dFbQiIyAs', 'hc4xI6IGUeA']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,5xInN-fZNnE
2,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,665RRraY8R8
7,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,9BSl97FIMUE
2,,"['YXomGTUyG6Y', '0hX_msLfx6M', 'SbFOriN8he0']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,9XDCT0hPUbE
4,,['gJeU2cBTKKg'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,AIMbAaueYew
4,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,AbGMC2BINSo
3,,"['AbGMC2BINSo', '1I1u2Jw_W44', 'o-Q9e90rtfc']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,COCjvUYGHNs
3,,"['wl6QyJBHLLw', 'hUg8hmLoMYQ', 'AIMbAaueYew']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,CPC2iDc07S0
5,,['SbFOriN8he0'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,DLGmgmh4BBU
8,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,FG9DxtjeNwg
5,,"['ieHCmmiYKIQ', 't1dFbQiIyAs']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,KYLKZ04Ehpk
3,,"['53m5UAzhphM', 'UeF_6UisoA0', '_mfJxCBNONs']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,KtmZnxszvLo
8,,"['oIIbKH2xB5A', 'arRryQmN8rw']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,O_gru1wW9Qw
5,,['yYzWuwx7vXM'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,RA3U09fNBNI
6,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,RhwLe-f5rYY
3,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,SbFOriN8he0
4,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,UZo8dbjOg70
1,,"['53m5UAzhphM', '0hX_msLfx6M']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,UeF_6UisoA0
4,,['dpc6HJXfaA4'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,VcLlJRzN6Cg
3,,"['matC1lSVnno', 'wl6QyJBHLLw', 'ptGkUATC1i4']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,W2ZwJgPeYbA
5,,['wl6QyJBHLLw'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,YTfJGLDsEbk
3,,"['9XDCT0hPUbE', '_i_7TRbgSXE', 'i4iFY1g0b5s']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,YXomGTUyG6Y
3,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,Z-UIw8KHsZc
4,,"['YXomGTUyG6Y', 'DLGmgmh4BBU']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,_i_7TRbgSXE
7,,['FG9DxtjeNwg'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,_lcPhyMb5cc
4,,['KYLKZ04Ehpk'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,_mfJxCBNONs
9,,"['t1dFbQiIyAs', 'ieHCmmiYKIQ']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,arRryQmN8rw
6,,[],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,dQfFKwffQ8k
2,,"['uMTI8OYwqYU', '-d_HA2AYvus', '0hX_msLfx6M']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,dpc6HJXfaA4
5,,"['dQfFKwffQ8k', '1Yp91zKBGgY']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,gJeU2cBTKKg
5,,['1I1u2Jw_W44'],-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,h9FWIM5LnlY
4,,"['1z27bwyZ_-o', 'YTfJGLDsEbk']",-nKhaM1bstA,2019-08-10,-nKhaM1bstA,15,3,hUg8hmLoMYQ
