video_id,in_deg,out_deg
0hX_msLfx6M,9,3
UeF_6UisoA0,2,2
s331U0gBKQI,2,3
wl6QyJBHLLw,4,3
665RRraY8R8,1,1
dpc6HJXfaA4,2,3
9XDCT0hPUbE,2,3
-d_HA2AYvus,4,3
53m5UAzhphM,3,3
Z-UIw8KHsZc,1,1
CPC2iDc07S0,1,3
W2ZwJgPeYbA,1,3
SbFOriN8he0,4,1
YXomGTUyG6Y,2,3
yXAtxbHEVZQ,3,1
lFu53kb89-0,3,3
COCjvUYGHNs,3,3
uMTI8OYwqYU,2,3
kPlyqcarqpw,1,3
KtmZnxszvLo,1,3
hUg8hmLoMYQ,1,2
AIMbAaueYew,1,1
matC1lSVnno,1,1
ptGkUATC1i4,2,2
i4iFY1g0b5s,1,1
_i_7TRbgSXE,1,2
1I1u2Jw_W44,2,1
o-Q9e90rtfc,1,1
AbGMC2BINSo,2,1
VcLlJRzN6Cg,1,1
_mfJxCBNONs,1,1
h9FWIM5LnlY,2,1
UZo8dbjOg70,1,1
1z27bwyZ_-o,1,1
YTfJGLDsEbk,1,1
gJeU2cBTKKg,1,2
RA3U09fNBNI,1,1
DLGmgmh4BBU,1,1
KYLKZ04Ehpk,1,2
1Yp91zKBGgY,3,1
dQfFKwffQ8k,1,1
yYzWuwx7vXM,1,1
t1dFbQiIyAs,3,3
hc4xI6IGUeA,1,1
RhwLe-f5rYY,2,1
ieHCmmiYKIQ,2,1
_lcPhyMb5cc,11,1
oIIbKH2xB5A,2,1
5xInN-fZNnE,1,3
9BSl97FIMUE,1,1
FG9DxtjeNwg,1,1
arRryQmN8rw,1,2
46ZAjrcEG0I,2,3
_AkAZIk73F0,1,3
HsTQZptlnYM,4,3
U2ZCagfGAf4,14,3
aFHfzcR9CO0,5,3
zlFSoN4_qZY,8,3
E2zrqzvtWio,1,3
vBLSBR0KiMM,2,3
XwvjkJXaIJE,1,3
6MJUZZgvAUY,1,3
XxZtNG4xuaY,9,3
DxN12jzHrqI,46,3
v4jYoCxpWkE,29,1
mQfxl1NiMP8,1,3
I5DJ-05ZUKo,32,1
pNCQeQuV6O0,4,2
d1vAGzeCE1k,4,1
SMwXKl0odq8,3,1
kwxtkBcayK8,5,1
lEQBHeZqDIo,1,3
7pk9oDrpf6k,11,3
cUxw9Re-Z-E,13,2
ZDuwWxwe1HQ,24,3
ynhSaDZAw2w,2,3
pQAdwjYc_VE,7,3
XT1Y5jXBh1k,1,3
HTlSLcwoWak,10,3
DTKhR2ofOTY,3,3
ENDTX7_WmTg,2,1
_OvE4iKsa2Q,2,1
iojQ153cai8,4,1
dFV0-ODvkmg,1,1
PUB3pFA_RBA,1,2
j6-q7SUFP6o,10,1
xducBSS0zwE,8,1
wfA4bZbK0mc,10,1
Uztf1el3JUo,4,1
p5BLKKREIck,1,2
j_m9DxLJ7V0,1,2
hVCVt-dvVOc,1,1
0tYm41hb48o,2,1
4CltlmkhpAY,17,2
QyeBxcvUJIU,1,1
kRzmpCE96kU,1,1
KQtP8rXW-EM,8,2
EORQJhrfPpY,1,1
-WS3OatB4cQ,6,3
W-l23ec-4mc,1,2
autMHvj3exA,4,1
__LxwaAEaL8,15,1
rcpUi7KBxz0,1,1
7EqIUd8Al20,25,1
BtBqKMoVg40,7,1
16efp7G8hNM,1,1
oGpBTOYuRfE,6,1
BA77LxQmWrw,1,1
tukYc1Or37U,2,1
vdHJjbHwR38,31,2
w7BMaG3zyVo,1,1
vxoeLLq14zI,2,2
dhT72PWhqh4,1,1
ybjKHUTt8wY,4,1
iFu6TTzNjGY,2,1
zJIlftta6fk,4,2
P7QWifeY2_A,4,1
rBUaN1AzjL4,1,1
bLgc1dqhCsQ,13,1
HrqCb5cbqCM,1,1
dvBbxbjFRw4,1,1
pBylbB7s5Nw,1,1
5U-yqm9H_Sg,3,1
PbcY9iya40o,1,1
61rNt03Wgp8,1,1
ofmuCXRMoSA,1,1
goVs04xNp8c,3,1
-WKmM4kkL0g,10,1
-BZHL-g4uDA,1,1
0DnXV6R0nh0,2,1
Bojt-clazxM,2,2
8v-X06Q04w4,1,1
zc1YM9fNATQ,1,1
Rz8ge4aw8Ws,1,1
SX1SLJmeGEY,4,1
knC3aT5rnLg,18,1
KPgJ2MSSF1o,3,1
BR4KyIE3Mrg,7,2
dx_nQwOEimE,3,1
7tqypS2cm0g,2,3
np0-WqcbLcI,1,2
syP-OtdCIho,6,1
U63z6YOGYCY,1,1
jAni7SUH754,1,1
imhUmLtlZpw,2,1
BlJ64FUxWg8,1,1
Xx9T1WaOv8k,1,1
M9MBokHhhPs,2,3
LO5hPu9N5d8,4,1
MppMQYCwiIY,2,2
R6oYaMtJln0,8,2
pa4PRs80rbg,1,1
3RCWHeEGWlQ,1,1
0__XpC6c-bQ,1,1
2sFbLEqqySM,5,1
shec3ULt8YA,1,1
WOexiVyLSdw,4,1
JvI-hga8J2Y,1,1
uDkt8CetVr8,1,1
Jj5iZu1NuwY,1,1
mz2IDFFiE_A,1,1
fwjg1F_zdCk,1,2
LfKqOUMrCw8,1,2
3TnT3-6u54Q,2,1
hTFGBkPcqWc,1,1
nvMIegWM1JY,3,1
BdH2Y77QsjE,4,1
DDqgTfEhkgE,1,3
eSrlMYiHptM,1,1
1b6auSQPvGs,2,2
3nYPWmMCGUs,2,1
9WQy4LGUQRg,1,1
meN7Nb--q7w,3,2
OTpFqwsrs54,2,1
JEYh5WACqEk,2,1
98n-DTIwW18,6,2
6V7EL-Yg8Gg,3,1
FO_mJbJn-04,2,1
5TpzWon_QV0,1,1
hzNntWE16xo,1,1
feVFjmt9T9w,1,3
6vVNSc3ah7M,1,1
NIRPE7ddOfw,1,1
t7sRWrvRdrA,5,1
vLINtOTAoWI,1,3
kcymg26PQHY,1,1
Bd8_vO5zrjo,11,2
6tIB_mqR1uw,2,1
vsMydMDi3rI,12,1
UDbG36A5CUo,1,1
sepOtJasckk,1,1
1cXy7gxUtbU,1,1
dSYy7YYo6XY,5,1
sbYX4Lur4Yc,5,1
3oKMjTqdTYo,5,2
NB5hH3ksvKE,2,1
s7uScWHcTzk,4,1
ZJeR--9lSMU,8,1
8COaMKbNrX0,12,2
3FX-0kjehAs,1,1
KcCVDrnItmg,3,1
fL7iBiOClYs,2,1
z9YKti86v58,4,1
IRVdiHu1VCc,7,2
9vpqilhW9uI,3,2
U3l1YhxeT2I,1,1
u2Rq22gchuY,1,1
wX78iKhInsc,1,1
rEg-ZNB3qyI,1,1
QA5fh29rhLs,24,1
blBnGGOFtZA,1,1
rGBoyLKaHB4,1,1
LWULB9Aoopc,1,1
wk3ZN7YXUro,1,3
RrTRgYc_AxA,2,3
iDGIzrvyOU4,6,3
AF5WmhiktJk,1,3
t4n400VXP3E,1,3
YqCKHeWk2TI,1,3
vHWuj0SWs84,1,2
zZetA8aEigo,1,3
kMFxrSJUWf4,6,3
2TmQZgwXi9Y,21,1
9Sfp7YVj1tM,4,2
SJCfdQ4T4oY,14,1
igqJdw1V-bs,4,3
5G6F8cVGoGw,3,2
dBOsuCy_360,1,3
2uaJ1D2tXOA,5,1
WVxDdBq5A50,10,1
nGA51ce1T9I,2,1
jL8uDJJBjMA,4,3
FgbCQMw5LOM,2,3
IDIr2rVaQaI,1,3
areWIpLgbuE,1,3
JsECHXGgvpA,2,3
gROcy_ZgAb0,1,1
iWLsZs_0DKY,1,2
xUIAHWpG-wE,5,1
56USRB_4ZJM,1,1
qP4qfJcob9s,1,1
9jRLG7rl0GY,1,1
01iSh4_Sr6U,2,1
oKI9bhGv0Jc,1,1
DQNP4kcc6Ys,2,1
35j7kXA8DLs,1,2
eslfjT8k-WQ,1,1
Q7_9131Ea8E,1,1
vXa0fWirT-8,2,1
Ep4DxxdD-zw,1,1
20NqRnLWLEo,1,1
43xTvpxWLW4,5,2
KBT7o0piZ8E,2,1
arSEALgiOr4,1,1
242jJtfDbbE,1,1
tl-Dkxv2w4A,1,1
VllyEXWf4kA,1,2
nQOpOvv2FCY,1,1
IrCQh1usdzE,7,1
144TR3ejIts,5,1
bXOWK-Vj7_M,2,1
ALdlphTYdi4,1,2
0uj6bDqAVJA,2,1
bO1r0s2mw1k,1,2
o8UzQr2l9YI,6,1
5pmSYvUmVhw,1,2
WsQ7ysVt-0A,1,1
VhQRCIIlYrk,1,2
Aafeem7lBIY,1,2
CR7tIdMN8MI,2,2
r4vK98dyyzs,1,2
C_bPO_YCw_o,1,1
XBQKvVb7q7M,2,1
hZrVyxkJDio,2,1
wWXFp6fWlqo,1,1
ALgw6jc3dbg,3,1
cavt_O2kFjE,6,1
brVc9pEVqP0,2,1
UBt3_UqWJdA,5,2
Euma9watYSw,2,2
kaQUYc2e5p8,1,1
rITblDjc3zg,3,1
r-ArRDiQgwA,2,2
0Wb8YRjjQSE,1,2
G3rF7weYttU,1,1
jxOSlxZQ-m0,2,1
NFvU5AGs02U,1,1
jl0WXd_kgPs,1,1
TwadpGdskCM,2,1
F0ZzwGSF6Zg,2,3
OuQZ19Om1JA,2,1
