parent_channel,child_channel,out_deg
#Mind Warehouse,"['THE TOP 10', 'Heavy Equipment Accidents HD', 'Disclosed TruthTV', 'Amazing Stock', 'BE AMAZED', 'Mind Boggler', 'TheRichest', 'The Infographics Show', 'Godrules', '#Mind Warehouse', 'Interesting Facts', 'Interesting Facts', '#Mind Warehouse', ""Pablito's Way""]",13
#SeekingTheTruth,"['Red Dead', 'FRONTLINE PBS | Official']",13
.School For Prophets.,"['Matrix Wisdom', '.School For Prophets.', '.School For Prophets.', '.School For Prophets.']",13
0Bathgate66,['MyTalkShowHeroes'],13
1 NEWS,"['Joseph Stefanelli', 'Weidmann']",13
1000frolly,"['Johnny Carson', 'TheIHMC']",13
10News WTSP,"['Johnny Carson', 'USA TODAY']",13
10mikey04,"['The Wendy Williams Show', 'The Wendy Williams Show', 'Wilda Lockridge', 'CHÍNH TRỊ HOA KỲ', '10mikey04', 'ivototo ade']",13
1140 rotator work,"['1140 rotator work', '1140 rotator work']",13
11:11 Ministries,"['AmazingFacts', 'AmazingFacts', 'Adventist Channel', '11:11 Ministries']",13
11Alive,"['Johnny Carson', 'NJ.com', 'CBC News', 'ABC News']",13
12 News,"['CBS News', '12 News']",13
16x9onglobal,"['Kevin Kalden', 'AllanHunter1']",13
1963impala2dr,"['CarsandCameras', '1963impala2dr', '1963impala2dr', '1963impala2dr', '1963impala2dr', '1963impala2dr', '1963impala2dr', '1963impala2dr']",13
1on1 with Tommy Sotomayor,"['unWinewithTashaK', 'TheFallenState']",13
2 Keto Dudes,"['Ed Mays', 'Adapt Your Life', '2 Keto Dudes', '2 Keto Dudes', '2 Keto Dudes', '2 Keto Dudes']",13
20/20 - Official Channel,"['Top 5 Unknowns', 'Mangotology', 'Zorro710', 'Rodan Thompson', 'FoundationINTERVIEWS', '20/20 - Official Channel', '20/20 - Official Channel', 'anne ette']",13
200 RM,"['reelblack', 'Just For Laughs']",13
23andMe,"['Chatelaine', 'Ancestry']",13
24 HOUR NEWS,"['24 HOUR NEWS', '24 HOUR NEWS', 'Gotcha News Network', '24 HOUR NEWS', 'Fox News Shows', '24 HOUR NEWS', 'The Josh Bernstein Show', 'The Josh Bernstein Show', 'The Josh Bernstein Show', '24 HOUR NEWS']",13
24 HOURS MOVIES LATEST NIGERIA NOLLYWOOD MOVIE 2019,"['African Nollywood Movies Latest Nigerian Movie', '24 HOURS MOVIES LATEST NIGERIA NOLLYWOOD MOVIE 2019', '24hrs NIGERIAN MOVIES - latest nigerian movies', 'Nigerian Movies - 2019 Nigerian Movies Nollywood', 'Nollywood Box Office - 2019 NIGERIAN MOVIES', '24 HOURS MOVIES LATEST NIGERIA NOLLYWOOD MOVIE 2019']",13
24 News,"['24 News', '24 News']",13
24 TV,"['Richard Binckley', 'Joseph Stefanelli']",13
