channel,leaning
abc,C
al jazeera america,C
bbc,L
bloomberg,R
business insider,C
c-span,L
cbs,R
cnbc,C
cnn,L
daily mail,R
euractiv,R
financial times,R
forbes,C
fox,R
fusion,R
harvard business school,L
judicial watch,R
msnbc,L
national review,R
nbc,L
ndtv,R
occupy democrats,L
ozy,C
pbs,L
pbs newshour,C
pj media,R
prageru,L
raw story,L
recode,L
tallahassee democrat,C
the atlantic,L
the economist,R
the guardian,L
the new yorker,L
the young turks,L
thegrio,R
time,L
timeline,R
usa today,C
vanity fair,L
vice,L
vox,L
wall street journal,R
washington free beacon,R
washington post,L
wnyc,R
1 news,R
24 news,L
9news,R
a&e,C
aaron,R
aarp,C
abc news,R
abp news,R
abs-cbn news,L
aj+,C
aktk,R
amtv,R
amv,C
ary news,R
associated press,L
at,R
attn:,R
avch,L
bbc news,R
bestie,L
bfi,C
big think,L
billings gazette,C
cal watchdog,C
cbc,R
cbc news,R
cbn news,R
cbr,R
cbs news,R
cbsn,R
center for inquiry,L
cgtn,R
church militant,L
circa news,C
cjm,R
cmx,R
crooked media,R
ctv news,R
cut,R
db,C
dbate,L
dc statesman,R
democracy now!,L
dsd,R
dw news,C
e4,C
eaa,C
ed,C
el pais,R
epic,L
espn,C
ewtn,R
financial post,C
fortune magazine,C
fox news,R
freespeechtv,L
global news,R
gq,C
hbo,R
hln,R
hooverinstitution,C
hvmn,C
i.,C
ij,C
inside edition,R
itv news,C
jason,R
joe,R
k p,C
kansas city star,R
kgw news,C
knoxville news sentinel,L
koz,R
ko侍,R
krqe,C
kxly,R
kyoot,L
lbc,R
learn liberty,C
lexington herald leader,R
libertarianism.org,C
lofe,R
lr,R
meal,L
merc,R
metax,R
mg,C
mlb,L
molo,R
montana standard,L
most news,C
mtv,R
nba,R
nbc news,R
nbc2 news,R
news24,R
newsong,R
nfb,C
nfl,R
nowthis news,R
own,R
patriot,R
patriotic millionaires,R
politics live,L
pri,L
reasontv,R
rt,C
sal,R
sky news,L
slavb,L
snaves,L
snn,R
stars and stripes,L
ted,C
the daily wire,R
the duran,L
the oklahoman,C
the state,R
the sun,R
the verge,R
thebinger,R
theobjectivestandard,C
thoughty2,L
tik,L
tlc,L
tulsaworld,C
turning point usa,R
tv,C
ucl,R
understanding the threat,L
usa news,R
vice news,R
wfaa,C
world economic forum,L
wwe,C
xini,L
yoti,R
your black world,R
zane,R
zooted,L
the late show with stephen colbert,L
lastweektonight,L
saturday night live,L
real time with bill maher,L
the daily show with trevor noah,L
late night with seth meyers,L
al jazeera english,L
the tonight show starring jimmy fallon,L
the view,L
jimmy kimmel live,L
60 minutes australia,L
breakfast club power 105.1 fm,L
cbs this morning,L
cbs sunday morning,L
cnbc international tv,L
cnbc television,L
the new york times,L
crooked media,L
tedx talks,C
theellenshow,C
bloomberg markets and finance,C
bbc news,C
bbc america,C
cnn business,C
bloomberg politics,C
the hannity,R
fox business,R
fox 10 phoenix,R
yaftv,R
fox business,R
fox news insider,R
american conservative union,R
dinesh d'souza,R
fox news shows,R
jordan b peterson,R
sean hannity,R
glenn beck,R
ben shapiro,R
ben shapiro thug life,R
social justice fails,R
