channel,leaning
bbc,L
bloomberg,R
business insider,C
businesslive,C
c-span,L
cbs,R
cheddar,R
cnbc,C
cnn,L
daily mail,R
financial times,R
forbes,C
fusion,R
kqed,C
ladbible,L
miami herald,L
msnbc,L
nbc,L
ndtv,R
new york post,R
newsday,R
newsy,R
npr,L
ozy,C
pbs,L
pbs newshour,C
prageru,L
raw story,L
recode,L
rolling stone,L
tallahassee democrat,C
techcrunch,R
the atlantic,L
the economist,R
the guardian,L
the hill,R
the new yorker,L
time,L
usa today,C
vanity fair,L
vice,L
vox,L
wall street journal,R
washington post,L
wnyc,R
1 news,R
1%,C
24 news,L
9news,R
a&e,C
aarp,C
abc news,R
abc10,C
abp news,R
abra,C
abs-cbn news,L
ahb,C
aj+,C
alliance defending freedom,L
american enterprise institute,R
ard,C
associated press,L
atwa,R
bbc news,R
bestie,L
big think,L
boop,L
boston herald,C
cbc,R
cbc news,R
cbr,R
cbs news,R
cbsn,R
cdg24,L
center for inquiry,L
civitas institute,R
cmx,R
cna,R
cpac,C
crooked media,R
ctv news,R
cut,R
dan,R
dbate,L
defense news,L
democracy now!,L
dw news,C
e4,C
ed,C
efn,R
el pais,R
epic,L
esnews,R
espn,C
faz,C
fbe,C
fox news,R
france 24,R
gc,C
global news,R
gnn,R
gop,C
gpb,C
gq,C
hbo,C
hln,R
hmtc,L
hooverinstitution,C
i,C
i.,C
ign,R
inside edition,R
itv,C
itv news,C
ivy,C
j c,C
k p,C
kaiser family foundation,L
kam,R
kgw news,C
kkb,R
kyoot,L
lbc,R
learn liberty,C
lexington herald leader,R
libertarianism.org,C
lofe,R
matt,R
mental floss,L
merc,R
mercatus center,C
metax,R
milwaukee journal sentinel,R
mlb,L
mnf news,C
mtv,R
nba,C
nbc news,R
news1,R
nfb,C
nfl,R
nowthis news,R
ode,R
own,R
oz media,R
rattler,R
reasontv,R
red ice tv,L
retn,R
rt,C
siatv,L
siouxcity journal,L
sky news,L
t c,C
ted,R
texasmonthly,R
the daily wire,R
the feed,L
the outline,R
the state,R
the sun,R
the verge,R
the weekly,L
thoughty2,L
time life,R
tlc,C
tnt,R
tps,C
trt world,R
tsn,R
tti,R
ttw,R
turning point usa,R
tvo,C
usc,R
vice news,R
vito,R
vogue,R
w b,C
wjhl,L
world economic forum,L
wrb,C
xos,R
xreasons,R
the late show with stephen colbert,L
lastweektonight,L
saturday night live,L
real time with bill maher,L
the daily show with trevor noah,L
late night with seth meyers,L
al jazeera english,L
the tonight show starring jimmy fallon,L
the view,L
jimmy kimmel live,L
60 minutes australia,L
breakfast club power 105.1 fm,L
cbs this morning,L
cbs sunday morning,L
cnbc international tv,L
cnbc television,L
the new york times,L
crooked media,L
tedx talks,C
theellenshow,C
bloomberg markets and finance,C
bbc news,C
bbc america,C
cnn business,C
bloomberg politics,C
the hannity,R
fox business,R
fox 10 phoenix,R
yaftv,R
fox business,R
fox news insider,R
american conservative union,R
dinesh d'souza,R
fox news shows,R
jordan b peterson,R
sean hannity,R
glenn beck,R
ben shapiro,R
ben shapiro thug life,R
social justice fails,R
