video_id,in_deg,out_deg
pw82AY2POrU,5,2
IX-fMw8RJqU,2,2
3d7uGUB0G84,1,2
rdFmBd9BXKs,1,2
5uCUpx5FCQk,2,2
YTaoOfmuZMI,2,2
R6aImfx8Iic,5,2
gMfNlPDISHg,1,2
2Qa3oQnVp2c,4,2
OgXIEUd2wUM,4,2
Xuzc249r7HA,2,2
hxTtjGamJtI,28,2
WJxFEUXIqBw,5,2
AyVr4qcn8EM,9,2
vxueqyHaBXE,3,2
TfHPC1DwXnI,4,2
kwxtkBcayK8,14,2
XwvjkJXaIJE,6,2
X3B4lgV1IxQ,5,2
5Ji8i7Wy4mo,2,2
zI7pH7MyNSk,2,2
YIAAI3j_vsY,2,2
_iudkPi4_sY,7,2
-k3B-tw2sB0,1,2
2l5wezc1vT0,3,2
MHD-M1AG7Hs,2,2
BGbo9EXWGcI,47,2
90zRL-FNbzQ,1,2
On3iQj8xw-0,2,2
V5mb3XW_ZR8,1,2
xpYzbAuSSuk,1,2
lEQBHeZqDIo,1,2
5jdEG_ACXLw,1,2
aoP730EnFqM,1,2
DSyK3SAzJa8,3,2
__LxwaAEaL8,26,2
VqmRz8Pwh-g,2,2
npm6F254GHA,2,2
NOQO88irVcg,1,2
YvMJP4_sTRg,2,2
TmNSlF7lcaw,3,2
rQ9X2I3X6UQ,1,2
YeU2MlPssKA,1,2
lCHrKz_29iA,2,2
2F8g6Tfp690,15,2
TAMWsWvcbtg,11,2
29x0MoVG3ok,1,2
vXwsWgUraEc,3,2
OaZUQPmgNZk,7,2
yoFaQ9foV8I,6,2
auprk79N3Fo,3,2
hdCRdBYx3Ww,2,2
gnCMJZ1XcI8,3,2
Te0b5KgUyzc,3,2
GbCHKxu5Fkk,3,2
p5BLKKREIck,1,2
l8MVc2yCJUM,1,2
t487ILVf87k,1,2
1NIXcUObjXc,1,2
fOmzpIlQ1ho,1,2
nUqqROQwcwY,11,2
wFRXQh1QU10,1,2
5U-yqm9H_Sg,1,2
Vp9wIB3pqJg,1,2
3QsGSvpKhoI,2,2
GgHRGgViWfY,4,2
_wMvItIDMPU,1,2
WEjzF2Cx1UY,1,2
2RtKtUxuuN8,2,2
rs1KYmQij9s,2,2
QRen8nI8_aM,4,2
Bw8vN2W3SMw,1,2
v6H2HmKDbZA,2,2
id5b0PYgvwo,7,2
lWmyV71Mchw,1,2
IkVRe1liXR0,1,2
JXNHtg_UUo8,2,2
nmP15slM4Ug,2,2
EWtX4u-gbEE,3,1
7-8WNL5bspg,1,2
7tqypS2cm0g,2,2
BxG7w0HQgM4,1,2
AX7rliyPF48,18,2
_lI-_8lV4wU,10,2
2VX5PBeeWmY,3,2
bah4WFDqKbQ,4,2
G-qgjLMXc0k,1,2
wOURf1rj3MM,6,2
z0c0_-xXPSE,14,2
13OypBRrwv8,1,2
px7fTQvzMO4,2,2
BtNbMD96xgY,2,2
pFqUJbdy268,1,2
gwsboAHjCtY,1,2
DmGZHzb2Ivc,1,2
OEzKQi1sq8A,1,2
pwaf9ne_kC0,2,2
3cisO5Tx2gI,1,2
fFk3p4Fj6YQ,1,2
0ENOJBLVgjw,1,2
AKzM9R21LZc,2,2
SGJ5cZnoodY,3,1
6lYA7c1Pnuo,40,1
jL8uDJJBjMA,7,1
PFC5Kv3KSU4,1,1
6V7EL-Yg8Gg,7,2
tgRDhHf60XY,1,2
xxO2rGExhjQ,1,2
rGiYFJ2uyTM,2,2
P7QWifeY2_A,3,2
QflVqavHHM0,2,2
JavUyM8lA6w,5,2
Z44hQPWt6QY,1,2
A_CvgC4XW7c,1,2
Yermf1fQctc,1,2
xDR5ppQ2lR4,3,2
Q4sCA3QFqT8,2,2
wD8AwgO0AQI,6,2
d1rHsI-g3z4,4,2
Ym1NLvmcl0k,1,2
tZ2ixDAKYwA,1,2
iyJrIpKtHkE,10,2
oZIrwCylmGo,1,2
uTUwL_vRoHE,10,2
3AOGF5f_u28,1,2
hQx76WemmQg,18,1
WmVEHct6r_g,13,2
YUFbwzJulEY,1,2
lkGnnc8Ezlk,1,2
F1mrF_lZK1k,1,2
8SCltrq0wro,2,2
aNIGhUyTbe4,30,2
i5OiCybTg0E,1,2
lNjqlrEcXA0,1,2
u3SuVLiFkos,1,2
SCuxBjWaaeU,4,2
jhi2icRXbHo,3,2
jey_CzIOfYE,2,2
IQMGgMw-gq0,3,2
42wJQTZpBDE,1,2
KQYp8xJ4kpo,6,2
6ZqaizzmO30,3,2
lx9b313N7E8,4,1
KZ29Q5YQ0G0,1,1
QCjk_NPsIqU,4,1
L0jQz6jqQS0,5,1
OJVVgGLQ38k,2,1
w2_UFMonyn0,2,1
6M6zK017XRU,8,1
OI5qwB2b43w,1,1
os_K-e_qwu8,13,1
WctHdxVFxa8,1,1
0__XpC6c-bQ,1,1
bLObkZTi5TM,7,1
iqAX02A9U6Q,3,1
XLVSD9K5kp0,4,1
Ch_hoYPPeGc,16,1
rKLS2CM-NBY,2,1
CF6fpn8Ts68,2,1
7XB3sD9QJCI,2,1
C8vZzP5yvJw,1,1
RKPUI6P25jI,11,1
EuppAcvRWww,4,1
TGHebC_kdmM,7,1
ygtFc3eR6So,2,1
JhudugDROn0,1,1
-v6LxyyUPiQ,2,1
CX6LlEcJ4nw,10,1
45tMd0gvBZE,1,1
rs2RlZQVXBU,25,1
d-91kaGe7uM,4,1
2FPrJxTvgdQ,3,1
M1ehDZUCnIY,1,1
d3wWia09UC8,1,1
S3aQYfmBV_A,2,1
ZDtYdXT_GGM,1,1
7Yz9eG_FjlQ,1,1
9DtCw30y3Os,1,1
4QDfw6t_uHI,5,1
Oyk8ESh-ip0,1,1
SNYZYxLSgPQ,19,1
QOmsvZZ3f10,1,1
W2yAAGQLE1o,6,1
2-e3RYWr758,1,1
4GpuTjbU5ak,7,1
Hdlf1M_9BgM,2,1
l1noUh2NrLI,7,1
Ie6zd3Rwu4c,1,1
GhTSrYehJC0,1,1
a9ew6KQeZfs,1,1
5Muuc60bAY0,2,1
zNkIvrmUiC0,1,1
aV2wzubgh1M,3,1
ERgx3kkFIjk,2,1
R6oYaMtJln0,1,1
1Yp91zKBGgY,6,1
YHkKNCKqczQ,2,1
ascQjL9oSpI,3,1
qTmX9omTTGY,1,1
nAh297EyYpc,2,1
TBUQtfeICaE,3,1
YSPD1iWcyYY,3,1
gXmrlB9n9sE,1,1
tkdwpyaCs6A,1,1
ujuBQJ7q2sA,1,1
T3G11IItt0E,1,1
t16xYMSyMXU,2,1
sheEL099ADM,2,1
opi8X9hQ7q8,2,1
WhMGcp9xIhY,2,1
lgyf6UTzqb0,17,1
ZgPJqCJWxaA,6,1
IB6yuiz0t18,1,1
gvBOoAjeN2E,6,1
T_WkoNxOkwg,1,1
JQizy90dTIs,4,1
1usxTIDLExs,2,1
r6IrMjfbh6E,1,1
SB_OThWd-eA,2,1
mCgXf-JuixQ,3,1
AKdNko2cUp0,1,1
EHIKEHCXfjU,4,1
LiZga4cQWgE,2,1
_feWtkSucvE,1,1
Bd8_vO5zrjo,14,1
nYFeY2pS0ks,1,1
z_KAOD6IZmE,1,1
_-S0lEdvCqs,1,1
ezawcc7zekE,3,1
7Hv2dsVkA38,48,1
hGXimSV0VoM,1,1
MDQnBZIaKfY,2,1
B__WmBZ81yU,1,1
OeuXKz6mJdI,1,1
4zEMv_9Edd0,1,1
OAVLuNQURTo,1,1
7dGvTsFXRP0,3,1
ZkFUU-xJM6I,4,1
m0-oC_49fq4,1,1
dOmJx8mTnm8,1,1
eZ9KCG0KO4U,1,1
U-XnWz0WmE8,4,1
1hcgXXJk_nw,4,1
B8A2zNF-NdA,1,1
v5Wk4o7BRQY,1,1
8vW6qokJ22o,4,1
sHWXxahujWA,1,1
Qaf6baEu0_w,19,2
4-PJvJelaQ8,4,1
