parent_channel,child_channel,out_deg
#Mind Warehouse,"['FactoFusion', 'BE AMAZED', '#Mind Warehouse', 'Facts Verse', 'Mind Boggler', 'The Finest', 'TruthRevolutionNet', '#Mind Warehouse', 'Erraticsboxing', 'BE AMAZED', '#Mind Warehouse', 'Street Food Dream Food']",13
#WeThePeople 24/7 Patriots' Soapbox Stream,"['ABC News (Australia)', 'CBC News: The National']",13
0126luvellen,"['Johnny Miller', 'bonnie321']",13
1 NEWS,"['Sky News', '60 Minutes Australia']",13
100 Thieves,"['I Like To Make Stuff', 'LoL Esports VODs and Highlights']",13
101Facts,"['CBS Sunday Morning', 'World Unearthed']",13
10News WTSP,"['Fox Business', 'TheEllenShow']",13
11Alive,"['The Telegraph', 'AARP']",13
1219Jesse,"['Oleg Larionov', 'Zach Jones']",13
123 GO!,"['5-Minute Crafts', 'Troom Troom SELECT']",13
12Medbe Network,"['DubyaScott007', '12Medbe Network', 'StainSteelRat', 'RideTheLightning728', 'clerade', 'improvftw']",13
1980s Sports Home,"['1980s Sports Home', 'Toon Man']",13
1redbulled,"['Javier Rullan Ruano', 'Megatugs Salvage & Towage']",13
1stfamradio,"['Cole White', '1stfamradio']",13
1tripz1,"['partypoker LIVE', 'joeingram1']",13
20/20 - Official Channel,"['ReportsOnScientology', 'A Current Affair', 'Al Jazeera English', 'Creative Service for the Public Good', 'Johny Dillinger', 'Shark Tank Showcase']",13
2028 END,"['Madde Bey', 'Rod Pickens']",13
2mokrasi,"['Pi lwen Ke zye', 'Men sa ki Atis']",13
37spiker,"['Shahriyar Qureshi', 'vdrivevideo']",13
3815 Media Inc.,"['PsimoesWeb Comedy', '3815 Media Inc.', 'V-103 Atlanta', '3815 Media Inc.']",13
3D Printing Nerd,"['Prusa 3D by Josef Prusa', '3D Printing Nerd', 'Make Anything', 'LRN2DIY']",13
3rd Eye Unfold,"[""Pablito's Way"", 'Football Facts']",13
4 Ever Green,"['5-Minute Crafts TEENS', '7-Second Riddles']",13
40 Historical Files,"['DARKUMENTARY', 'Global News']",13
43farmall,"['FOX 10 Phoenix', 'GoUpstate / Spartanburg Herald-Journal']",13
45cobden,"['Institute for Neuroscience and Consciousness Studies (INACS)', 'offTheLeftEye']",13
475thfightergroup,"['illusive 0ne', 'US Defense Today']",13
48 Hours,"['CBS', '48 Hours', 'Dateline NBC', 'CBC News']",13
5-Minute Crafts,"[""Carmen Katharine's Wreaths"", '5-Minute Crafts', '5-Minute Crafts', '5-Minute Crafts TEENS', 'Mr SunY', '5-Minute Crafts', '5-Minute Crafts', 'Hochanda TV - The Home of Crafts, Hobbies and Arts']",13
5-Minute Crafts KIDS,"['Hochanda TV - The Home of Crafts, Hobbies and Arts', 'Sugar and Crumbs and Nifty Nozzles']",13
5-Minute Crafts MEN,"['Brendon Burney', 'Mr N']",13
5-Minute Crafts TEENS,"['5-Minute Crafts', '5-Minute Crafts', '5-Minute Crafts TEENS', 'xBCrafted']",13
5-Minute Crafts Tech,"['5-Minute Crafts Tech', 'Diamond Painting by Doni', '5-Minute Crafts TEENS', '5-Minute Crafts']",13
