video_id,in_deg,out_deg
1MKgZrC6_cA,1,2
DWuBqSIKhOI,1,2
0dFWIStkGEM,1,2
k-u46kLdqUA,1,2
5CPs7f7kYHA,2,2
BZbunmaU-60,2,2
ht01OwvVyGU,1,2
o0QIsCWTO64,1,2
L0LBpYqhhBg,1,2
a4ui58AO3VY,1,2
45Y7bN7ZwaY,1,2
7LRZ3AaBlt0,1,2
k4UJhPiBE6c,1,2
2drOGA_nOJ8,1,2
yiCaGbSTASA,2,2
j_ZUos4dqfY,1,2
nsLAqD_J7vU,1,2
AGD0zW-hfnI,1,2
joARXZagTuM,1,2
Nj1lVCBmZnY,4,2
_LIlH4jBKyQ,2,2
YZEUr_Cfb-I,1,2
BAnejeN2TgM,1,2
hdyBdCTo_SQ,1,2
JibrlA0gYQc,1,2
U8g5iRbcXuc,1,2
NwzUPQKesVI,1,2
ipE7R-OXt3k,2,2
YqhENfgzzw4,1,2
NOhwrtYRY8s,1,2
NhUYu6u7MWc,1,2
jJLGBvjqzlY,1,2
rdEUZL_Bq0k,1,2
wSm9RiB8I98,1,2
F2SvX5WLnVw,2,2
ssxvb-kXrcc,1,2
hz3_qjgqD2A,3,2
XV8lTnjNfZw,1,2
vfLzFbAw0nA,1,2
EPBR5Gxp1vg,1,2
C0SG4kB4ONk,3,2
jBmzCbqUiv0,1,2
imaLmtZjks4,2,2
HwAIUYLzaRw,1,2
uMMbj1JdXhI,1,2
63Ze_bpATac,3,2
dYy8eGzyt4Y,2,2
HCOIDcm8BLg,1,2
lFTjfsEy27Y,1,2
DdqDEn0LBjw,1,2
sIVUjgYZ_yA,1,2
Kp6qxuCqCJk,1,2
b0Sl2PP2FxQ,1,2
Wqjwy5W7DXE,2,2
ZwemY70CAdk,2,2
7HBqxNuNrVo,1,2
syw-Z6aH5tc,1,2
1T4tiyQItG8,1,2
_x-mK9B9IAo,1,1
pT91Wo3LGbc,2,2
XxW1yrKtODs,1,2
rXutqNAX00Y,1,2
g7MEP92Hl2g,1,2
RvvkFt2UHUQ,2,2
o1-ja6jMby4,1,2
RECGmZZiqqA,1,2
b28OKGImVuA,1,2
Rz6ddVqx61Q,1,2
gh6wI6pPeZ4,2,2
8FweCQJ80kc,1,2
WNyciNN5f1Q,1,2
QumG9rIfuJQ,1,2
Pbvg2UIrLTw,1,2
HIOl0IuotOY,1,2
onrR3D6LuCQ,1,2
lUK698jJbmU,1,2
M8XhXEFRIJA,1,2
LkxwS2qrluA,1,2
qnux4tPiNMI,2,2
3eRZp8-1fVA,1,2
Ydw7hK0e4lo,1,2
6r5IdGp-j3I,1,2
2oMvtw4aeEY,1,2
C35di73TgG0,1,2
fuvNqgvQlxo,1,2
av7uDEpxFoQ,1,2
MWtb503RVMo,1,2
HGgTsD6HOJY,1,2
BNx2P2eWSYg,1,2
lUBav-MR7aM,1,2
3ZzuwpzQeaY,1,2
iX5maW9K3jM,2,2
E44kHaNN7JU,1,2
ZkXwoWgwVkk,2,1
eZP5FMXVOXw,1,2
dZIXJgSJvHM,1,1
v4R1UhKbclE,1,2
JcBCYnuND2c,2,2
8Dw0MoM2FoM,1,2
pw4YY_b3V7c,1,2
RUwdSEF0vkA,1,2
aDONS4NUVX4,1,2
27Ux38oVtQA,1,1
R5-a-Dzp31I,1,1
J8MKxSyWEm8,1,2
4ExgO1ilP3s,1,2
a08LokhvK_4,1,2
ovwHkb1wEfU,1,2
Bn4WOvCjoMc,1,2
LxPHAFy8LAI,1,2
bPsyXz1qv8I,1,2
1DSruRQ2MNs,2,1
PYrZOQsD75A,1,2
YgIJcgi0T1M,1,2
aIKmx7RQ4xE,1,1
PC0CZhCdICY,1,1
IWsQvXk5Z-E,1,1
gDH9I8msF0g,1,1
p2eUMPCUa8s,5,1
hfnGQI5wTMY,1,2
Zl0Qk7l8vWY,1,2
qfMHxU49Su0,1,2
SXk24veTT9Y,1,1
PQ9JQGFgdrY,6,1
7aH7l52gP6E,1,2
LBwVsFZWcNY,1,2
yFQ0RxLl-AY,2,1
5x5_KBSFGIY,1,1
z4DSBiZsvUo,1,1
FHi2r1h2d3s,1,1
DcR7BWRPbnU,1,1
4MTXjEOakNg,2,1
3UtTJ3hJe44,1,2
tAD-kmwZG3I,1,2
sas4rEN-w1A,1,1
FRqvZogfj08,2,1
rRD7JJLPeIM,1,2
-PkjWdDomI8,7,1
UNzXSS9uwXQ,2,1
rMQJ7vVcGuo,1,1
YIJVgo5PI24,1,1
KwzgVyqYrVU,1,2
0HaDoAq0XPI,1,2
fYKdcwLmbxI,1,2
BNh2k3Zmm2M,4,1
8TNUwDirznc,3,1
FN1mODxfd18,2,1
HfEZ0rzWQ0M,2,1
FKdP1ratv3M,1,2
HhnxOu1p-W0,1,2
XyweM3CH-u0,1,2
8gO62xI7N5I,6,1
rGdx1D-IKko,1,1
_hUlp13jpF4,1,1
wM_D_7IrXyI,1,1
R-AxURaKapA,1,1
Yo48ZhHob0s,1,1
ZuonvPgvLBU,1,1
OpVM6kgC1ag,1,1
qSDqjUoH67M,1,1
BjY69RCxaM8,1,1
pvwzOLXAuQ4,1,1
FCOFxTlTcaU,1,1
0MJj6CVNbo0,1,1
giF5upmUijg,1,1
2JgHdV44H1k,1,1
WFJTA1pYZ8o,1,1
ygkqs2aPxkE,3,1
w3ZhueIQE1s,1,1
BqnyVc4IOKY,1,1
TBmhTKoCEMk,1,1
cIpcJdpJW1g,2,1
yDShH_Z6kxY,1,1
hOVBvO53gG4,1,1
v6TX-ZkwPpc,1,1
RzsX3Aka12g,3,1
DYhhSuCNEHE,1,1
LFoAAHrRbkk,1,1
z3M5LwOCAQ0,1,1
Q6TQEoDS-fQ,1,1
I6XHj96dzVw,1,1
FIfJelnIlxA,1,1
tSzZZH_Goag,1,1
nWr-pUKt9vQ,1,1
DJ0609D5fGA,1,1
OQVLuR7jj8Q,1,1
asJPPys8Nng,1,1
jIZ9e_Lsg30,1,1
61LSveQ-Skg,1,1
1LgSEkCuTEg,1,1
RPRyBvKyAzM,1,1
UGDJTeabQzU,1,1
lHlNOtYxxdQ,1,1
UwokMrXuAH0,1,1
4uBDddWBSdw,1,1
_7epoTpMQuo,1,1
yHcvEzroEZQ,1,1
mH8RPQWd-ho,1,1
HgDQ7JXTPl8,1,1
VWkPufGDA6o,1,1
YNJehEkvecc,1,1
E5gFrXfJ6gQ,1,1
ku-1okyplds,1,1
52pwDWGuV64,1,1
IJJUFH0ZyNY,1,1
mQyf6gpdpbY,1,1
7KHi6KS3_rY,1,1
18Wl6ws9Als,2,1
ex8UYOJtddA,1,1
IY5lMVvO18k,29,2
edslpDKzdxc,1,2
2ghRqPuJdQU,1,2
jcWdwglRhfg,1,2
eVr9_2wn3m8,3,2
PatPANzqP_U,3,2
58kxsmgqszQ,2,2
Qog2mWZgyG0,1,2
JKDMkbtWMI4,5,2
dGiigWx1_-U,1,2
yvvkeXMRqWY,1,2
Wc9b08J2KrA,4,2
Mu2akhFcMK0,1,2
1RZastx8hOI,2,2
Jyf2j4lA7C4,1,2
HjrEpFi3QOE,4,2
_mo-3RWKMGQ,4,2
vedycfT3-S8,3,2
OXG4uhCH5Y0,2,2
7Mg13pkj3-s,1,2
oqT1lneQ28Q,5,2
uTUwL_vRoHE,9,2
VQs_nymeiKw,1,2
LKOoPcHxPhU,4,2
SENlu34OazM,2,2
fQPnPXFr_Qo,2,2
4USDQ3pYfJk,4,2
Ch_hoYPPeGc,10,2
hmtjO2OYHy4,11,2
kqSGgXb9Ngg,1,2
1usxTIDLExs,1,1
CXK9NNp1yk4,1,1
EFIoVAMSLX0,17,1
5iTLCtlHpIU,1,1
6FQ6OympjL0,1,1
2fS9ixfQ_no,3,1
8nbeD1mwCdo,2,1
wZA2OnaqOUQ,1,1
5dsGWM5XGdg,1,1
bEghu90QJH4,1,1
rQ9X2I3X6UQ,7,1
TU4kot-fMTA,2,1
Th5ffQjKleg,2,1
Z6LVNpfES8k,1,1
I37macQoasQ,1,2
ndb2YfWJDbY,22,2
t6IGrXkhewI,5,2
gbAza-rCo5o,3,2
woEq42aKEI4,1,2
mCho3N3xfuc,5,2
Xe0bo3nN_LI,3,2
GvnwjtDuYJA,2,2
m1nV30JSUyc,8,2
VijjacEjSkI,18,2
ocyGHEVsp3w,2,2
_pUgOMhrEGw,2,2
oSrnsSmLSGA,7,2
COxdMXRKaNk,2,2
FsPsfrkZxiE,11,2
OfFtq8C_1_4,1,2
yb4hDs1h34U,2,2
pMEqN9NMz8g,2,2
Sed0MmigLaA,21,2
UpoQqrx-Oxc,2,2
NN1d6_h9skc,14,2
zT4ftpdZXu8,2,2
poqysDcmwgk,8,2
dXyO_MC9g3k,24,2
Y6CYXdspaBY,1,2
FEXL5USuDGI,30,2
9lQLXArjNs8,39,1
LbZPVWon3oM,1,2
PSCvbWYEJFQ,1,2
bYNxhVlSsuw,4,1
Tu8D7yrbrT0,1,1
oNpTR_vfwmY,1,1
AmXCRVITVG8,1,1
mHasBjRJAbc,19,1
c43FUVShDIo,4,1
vR8owIdd6jo,2,1
tQ1oN4ZuYWQ,7,1
s7uScWHcTzk,12,1
1whlzD8RzYY,1,1
na93qph58Dc,5,1
euk7OSzgMlQ,3,1
TaacuRfiNXg,2,1
yh2x3S5FsdM,1,1
N7FQwToqIT8,3,1
ANohtXQhkQw,8,1
dax8KvfPXPI,8,1
LxDPQ7_pM3s,2,1
X68Q_yF_MVI,3,2
2n_9YZ-cHZw,3,2
WyW3iMyrpG0,1,2
5_wFoFn7vzo,10,2
Gbd_Ebvw0zo,2,2
QM_aWc_wPDY,6,2
5oYeoCnSCB8,2,2
WyzDPxY3j-k,12,2
va-TG-IoiL4,6,2
6XG1sDBjXp0,6,2
lYgKrDMPHm8,2,2
aPhv-xyXPK8,2,2
CFqfBtNJG4c,21,2
pxqxZQJqSgg,2,2
7_bx9cRJTks,24,2
SpGQY0TfSUQ,11,2
Dd3JnBwc9JE,29,2
Kr4aF29AVdA,3,2
q-4GNfcOdaY,8,2
1ELP5SbpxX0,1,2
aTQYvbZUGS8,3,2
QpvkPoW8hxc,12,2
KoF8h7Pfn_g,16,2
-DpTg9cht2Q,7,2
DYRoVZP55iU,1,2
6nUM5mvyULw,2,2
gBVNvqnFt4A,4,1
_lI-_8lV4wU,7,2
JqAt7KotK6g,2,2
z7dqWSbMKZo,2,2
i_XHcZR7zf0,1,2
OiLzz5ArfaE,1,2
gZawAC_3NlA,5,2
F1Ux4F5egcA,33,1
n17EK10mbuc,1,1
k9q6JJT2WmE,8,1
xwV_YK_jRwc,2,2
qC0unRDHZWg,3,2
zHy39hgxrwM,1,2
td89f2rmvQY,1,2
TprtqJP-sSM,2,2
STLNxFnIhTs,16,1
-JdpSlAmd0w,2,1
