parent_channel,child_channel,out_deg
UC--MxpGXJ3LVD8KvlNzRlcA,['UCIEv3lZ_tNXHzL3ox-_uUGQ'],13
UC--i2rV5NCxiEIPefr3l-zQ,"['UCDRmGMSgrtZkOsh_NQl4_xw', 'UCY3NEq2LYrmdoGkevo9BH5A', 'UCY3NEq2LYrmdoGkevo9BH5A', 'UCY3NEq2LYrmdoGkevo9BH5A', 'UCRijo3ddMTht_IHyNSNXpNQ', 'UCRijo3ddMTht_IHyNSNXpNQ', 'UCRijo3ddMTht_IHyNSNXpNQ', 'UCqZQlzSHbVJrwrn5XvzrzcA', 'UC--i2rV5NCxiEIPefr3l-zQ', 'UC--i2rV5NCxiEIPefr3l-zQ', 'UC--i2rV5NCxiEIPefr3l-zQ', 'UCRijo3ddMTht_IHyNSNXpNQ', 'UC--i2rV5NCxiEIPefr3l-zQ', 'UC--i2rV5NCxiEIPefr3l-zQ', 'UC--i2rV5NCxiEIPefr3l-zQ', 'UCRijo3ddMTht_IHyNSNXpNQ', 'UCmyjVwYZbp5YPYTUyeopO2g', 'UC--i2rV5NCxiEIPefr3l-zQ', 'UC--i2rV5NCxiEIPefr3l-zQ']",13
UC-0HF2ieuJ_K6F5YkXugggg,"['UC8YAz8K6egQTuSIi8MKNOmQ', 'UCa3jGce6NJQIqrZKLivO7_w']",13
UC-2MJlKSq9_pYk5-bdvMhnw,['UCE0UPDWdE4YVkaS7rZS1F5w'],13
UC-2YHgc363EdcusLIBbgxzg,"['UC6i-se5IU8hRbPov5-ON1tw', 'UC6i-se5IU8hRbPov5-ON1tw', 'UC-2YHgc363EdcusLIBbgxzg', 'UC-2YHgc363EdcusLIBbgxzg', 'UC-SJ6nODDmufqBzPBwCvYvQ', 'UC-2YHgc363EdcusLIBbgxzg', 'UC-2YHgc363EdcusLIBbgxzg', 'UC-2YHgc363EdcusLIBbgxzg', 'UC-2YHgc363EdcusLIBbgxzg', 'UC-2YHgc363EdcusLIBbgxzg', 'UC-2YHgc363EdcusLIBbgxzg']",13
UC-2gI6c4Hgc8JZiN7-TNNNg,['UCI44Zcw52UErsFokiKMHlSg'],13
UC-3jIAlnQmbbVMV6gR7K8aQ,"['UCuVPpxrm2VAgpH3Ktln4HXg', 'UCYqujAD5831EywH1jldBu5w', 'UC-3jIAlnQmbbVMV6gR7K8aQ']",13
UC-5SWslTPR16wsTwCYPh2Ng,"['UC-5SWslTPR16wsTwCYPh2Ng', 'UC7P2vU0_8TuDDWBk0SGLFNQ']",13
UC-6YywIWUU9YLMywEihEJFg,['UC6SFjH91kdbaM6q_f14wjxQ'],13
UC-9b7aDP6ZN0coj9-xFnrtw,"['UCEIwxahdLz7bap-VDs9h35A', 'UCOavg1FtdeuyUTLz3wmuIKQ', 'UCOavg1FtdeuyUTLz3wmuIKQ']",13
UC-AM7PeaHHHD4xyzQlJVzKQ,['UCjLVHOL7Ez9LnaNU5lUGDWg'],13
UC-D7nbYCWQgqTVwWyltelgg,['UC66Gu0YHFQXth-aPcHrpi7w'],13
UC-DLf-HLfKSbSEOHljhdPpA,['UCTLrbUN8W0S4BDruToEtVQA'],13
UC-FQUIVQ-bZiefzBiQAa8Fw,"['UC5CYu9SJ35CwuJftSbDQjXA', 'UCu5jfQcpRLm9xhmlSd5S8xw', 'UC-FQUIVQ-bZiefzBiQAa8Fw', 'UCdHkLMxTYwV66Sky1xXVrxQ', 'UC4PziMH5MvvsmqM0VCZTy-g', 'UClWCQNaggkMW7SDtS3BkEBg']",13
UC-GyCr41G_0whgJLT0y2sag,"['UC-GyCr41G_0whgJLT0y2sag', 'UCtR4wMjyFalWGaCYnjr6V4A']",13
UC-H66WoRQeEKWoXXjRHiSgg,"['UCNnnebGhmIJ8MQ4X1HwphRw', 'UC-DsqEjA3e7f1kbRX6s05qA']",13
UC-J3Rig6mrJhGECH-yVMwSg,['UC-J3Rig6mrJhGECH-yVMwSg'],13
UC-KCrFNNLea1C6opy8TGLoA,['UC2ClojK5KOi7fixHTf_8FoQ'],13
UC-KsqnbQAR_3XMaJBk5CUZQ,['UCzmd9Aj2wmPggWZJpLdBB8Q'],13
UC-MScbG70trVVP57NUC3j5A,"['UCi6eRMC7vKE2n0sdRJNHpWw', 'UCChyMtM5jp1juRX6ZCjNiCg', 'UCu3pDheBV5chOddcuOSqTnw', 'UCu3pDheBV5chOddcuOSqTnw']",13
