video_id,in_deg,out_deg
aXbwttL_e6U,2,2
NN1d6_h9skc,9,2
p6BPxvfTqeg,9,2
waeMkka60po,9,2
8JXq_tF4skE,2,2
hHhYLJMi7CE,28,1
npFFgTGr5Ow,1,2
7OdTH_AP_Z8,1,2
n0u3JAaHRE8,1,1
7pGh8RYHL24,1,1
W7TDs0H0UX8,1,2
zdLAM-wChxY,2,2
JredjqSH1_g,2,1
CC2dTreNAKk,1,1
n06e4z4gH8s,4,2
dax8KvfPXPI,3,2
Vfp11CymzLw,1,2
nZrW0v13BJI,1,1
5rYPRMm8Arw,4,1
9wjjQ55S4Nc,23,2
HSW8stgUgUA,27,2
qlGraqAj2aM,2,2
-GFt-X9J04U,2,2
N7A3QViXy-8,1,2
h1AWLo_fK1U,36,2
sauEsj8YW9M,3,1
tKi99gEokLQ,1,1
wapg3iJE9Es,1,1
VWtRVRbPPUQ,2,1
W0L5NjY2nKA,1,1
bDz4CLOC7eg,17,2
FhFKPZqFd3o,2,2
WYCbdQ2uF8c,4,2
8pDyHglj8Vc,1,1
HCwEfBMiXJY,6,1
B3d3LMCABak,2,1
3iskVBOYfOU,2,1
qXfhQ5Hc5Xs,1,1
xcw0T1yjxIU,1,1
yYxi2AkQDN8,2,1
9nn3vk-0r4A,1,1
1yKUFsxWox4,1,2
KG0_KiM9Mv8,8,2
-qQ0ou3hA10,3,2
IbjMs8V3YBo,8,2
lYgjKd30EOE,5,2
tQyJlKI26lk,25,1
jENapQxK6bc,144,1
YZeoLzA_6Jw,2,1
XWV8lxo-9_Y,1,1
Wwvlayoc-b8,5,2
b0Etlf4tc0s,7,2
v3GDxEYl6Qg,1,2
_j1xIVWHB0o,3,1
GEf_D6i_IuI,7,1
HrgaPftDM5E,4,2
yMKJR5n4gLw,1,2
1RVgLlrI4U4,4,2
aRcnJPQqY0c,5,2
G6GYjm4KUYw,6,2
ZWXyykE1Y6M,3,1
B0MK5S1weP8,1,1
-M8DH-YrmCg,1,1
iMsYGpXfGhU,2,1
00jwuAz_vuA,2,1
VEF2Fjc4QeE,1,2
StDH6bRu2xI,5,2
e1zUGpT-wP0,1,2
_EzGfug8A2s,1,2
wTT9IIVxonc,1,1
bT_7_-4CbJ4,1,1
lG49SF7DAgI,1,2
n_yAY1Ybfmk,1,2
7bICvLFr--c,21,1
0tzf3qpKSIc,1,1
JJV9CIz_kCY,4,1
9zBfKe42bII,3,2
wgGQqUc-gTM,7,2
aD1nk9B6hio,2,2
A1IseFGJV-M,2,2
XwYRvmaqWCQ,3,1
Y2azrJnJACk,1,2
7F16gb5h1sQ,1,1
Fmm22DYp-xY,15,2
36v9GSOFMFc,2,2
ZLTNwPoX1Qo,2,2
qFwntHIWjaw,4,1
0IxzGBuwAEQ,1,1
KSeKpM3qNnM,1,2
FwzsbjGEaYs,2,2
hx2Sh4aPriI,1,2
fdhFeS5XOz0,1,1
OvYzUWUh2xE,21,2
hQPq2JRrNS0,3,2
XqOo8MCljeg,1,1
J_za5QFQlkg,5,2
cjWgNeFl6NM,14,2
io1j5s1EhG0,1,2
Ya4Xod9Qq3o,5,2
3kJE-6HeLZE,2,1
RHiFIPIIPqY,1,2
452xc8Sx95k,4,2
GNmYIjflfvM,2,1
buSv1jjAels,1,1
1ka43NKppy8,10,2
u-qPCRcO8J8,1,2
8pj5GyHC4Xg,1,2
W65w89WizA8,5,2
yTv1wJ_VUgY,8,2
8fOrNWRFsh0,2,1
tC_g4lgYN7Y,7,2
8w0iUOz-ofU,8,2
ZZninNuU90c,6,2
1siwMVrS0qE,6,1
Envmqb9GZlY,1,1
EZxKk1mjrwc,1,1
FV3VL28LdKg,2,1
d3hVXp5RzQ4,2,1
HEacyQaJ4OQ,1,1
24qwYVfk1JA,1,2
NPmXh7S19w0,7,2
VCH8Mg0WFaw,1,1
vZfP8ThFfIo,1,1
95B30ojbTLw,1,1
q9_fvCKFyQY,2,2
ANKgTjUD69U,19,2
1NKdAxN5jJI,4,2
UCiy3iHG14E,5,2
Nyd7w2kC7kk,2,2
A1Gu36jWZtE,10,2
X9LJV_eO34c,5,1
yYnXBRo9TVA,3,1
KJUOGKvyRPE,1,2
TsDqBcQFFNQ,3,2
hBk3sSUB5X4,2,2
ffkpwCCmI5o,1,2
tKy6yozXgSA,1,1
4Jhln2jz5hU,4,1
BjwhYgHKy74,5,1
VTgwbGWfGQU,1,1
plzeqejNc5Y,4,1
49ueZ9fl78g,3,1
Rcxow7lBr3Q,1,2
GigpxLNbgeg,3,2
opWQ8hNWj08,1,2
tbTP1s28hqs,14,1
9n8RUMgcrEQ,1,1
kipF5zoCGAk,3,2
qofdWFv7m0U,7,2
HBEigtlVV6k,6,2
rcN5_YRJ1sM,1,2
tpNpDM-enLw,1,1
IooUYvy5h0o,2,1
MmNHnT5boEM,2,1
ql9UNgccrMI,1,2
_GJGZov-ZOM,1,2
NNJ30ZEaDro,1,2
roiw0Ykwa6E,3,2
KEgtWeKBm8w,1,2
vMI34qaZdlU,1,2
z4DSBiZsvUo,1,2
imaLmtZjks4,2,2
7LRZ3AaBlt0,6,2
voFOeIZXu1o,1,2
5-Hn0BaYe7I,2,2
joARXZagTuM,1,1
QumG9rIfuJQ,3,2
JibrlA0gYQc,3,2
hdyBdCTo_SQ,4,2
kulaOqRdZdw,3,2
077gm6yHfjE,2,2
4uBDddWBSdw,3,2
Y7bRx5fEJbU,4,2
k4U2MzXjvZw,4,2
J3K9oMWOI_Q,3,2
EMqFxfwWXcI,1,2
pLfoaxbVbaQ,1,2
uM-nyXlcv6E,1,2
ej_eUJOoMwY,1,2
LFVJYFI93Bk,1,2
C0SG4kB4ONk,1,2
9oqc8Uoa4WM,1,2
lGCZaqiSmT4,1,2
86_1xTBFKtU,1,1
JrhdQ63ZNjM,1,1
s2lYKCIAVoI,1,1
WH7ShZTahTA,2,2
HwAIUYLzaRw,1,2
EMm0FHh7ik4,2,2
1_38FOqw4sE,1,2
R-qzsBTPe-g,1,1
sxDxHCtuu10,1,1
DFq7Wy0J4lw,1,1
GeM73RmgU5o,1,2
IPUKu3jhtyo,1,2
-oKvWxDoygA,1,2
1k2SWo9-hMI,1,2
FHi2r1h2d3s,1,2
giyOo1HxlaI,1,2
KZqwUj6VOZ4,2,2
M74Ugm47nuU,1,2
yF17rvq2r5k,1,2
GMbyHXxUHdg,1,1
uMMbj1JdXhI,1,1
d0yGdNEWdn0,5,2
NcX2AwH3cG8,1,2
_mgDW_U1prQ,5,2
_VB39Jo8mAQ,5,1
vrU6YJle6Q4,7,2
N-yALPEpV4w,10,2
u086rr7SRso,1,2
SiCSKg32AMk,1,2
H_-urpnm5yY,1,2
9_reU1gDvMk,1,2
hwFRlBmuhNA,1,2
bTr05BT-YJ0,1,2
LzfFW4yD-sc,1,2
UM0zpo0ZKIk,2,2
qpYABrF888o,1,1
d-BSvbzjPGc,1,2
uH4PpXdBUTA,1,2
8D_mrFt8_Mk,1,1
EYqLcu15qrA,1,1
m4Kshjr8HRw,1,2
hs07yzRhcxQ,1,2
kE-DrG2siX4,1,1
1tX2cyvMzX4,1,2
Uc6UhH1rmUY,2,2
qplaYjcxTBM,2,2
wtV5ev6813I,2,2
SSH5EY-W5oM,5,2
tmlwkZapbVA,2,2
QJNZNoaKUBc,2,2
BiCUCqiWOlo,1,2
QjaF8xZLBjQ,2,2
PDn9l20NlWw,3,2
7m1aPYefrYM,1,2
xV7Ks8svnrQ,1,1
U2ZDj477R6c,1,1
ZZZ7k8cMA-4,1,1
Lp7E973zozc,1,1
3k2haVNstKQ,1,2
BpdPrd_8i10,1,2
ygZxXRlLT9U,1,1
wPm7M92auqM,1,1
LFaPQcEuerc,3,2
jUiYpNjiDIg,5,2
hqKafI7Amd8,3,2
h_lC2zo_flE,1,2
FW5rvgy3CHk,1,2
A9Vex9CAJVo,1,2
uouqzMrsB7o,1,2
ecfqlxi7lvw,2,2
vuIlsN32WaE,5,1
EJDpbsvWdsg,1,2
ydB2cdhX3LM,5,2
Oc6MaFe7Alw,1,2
B-hTXzUTxf8,2,2
UCFg9bcW7Bk,1,2
BnC6IABJXOI,2,2
iaWfp3vj-c8,3,2
X0LZpPTqv9c,2,2
WGW0u0cRZ1I,1,2
qkJQEqUQ6Sw,2,2
b-86phBxcP0,1,1
6xiWcVR7f3M,1,2
FrmZeXf7ScU,2,2
9ebJlcZMx3c,1,1
-p87nJ4XQHY,2,1
l0o3uKaEZcM,2,2
5c6AADI7Pb4,9,2
dFXieb9rkLw,1,1
I27oRkaP_V4,1,1
jqs61UX1bUw,1,2
pd4j9osCNT4,1,1
6qkSMkiGWdg,1,2
vVsXO9brK7M,2,2
WEGmOnpOvRM,1,1
IgwbpcbEqRA,1,2
YIm4jC39XlY,2,2
RiufiQGi07k,1,1
nFv4K4y9D3c,1,1
FRpja9Nnatg,1,1
3chbxk2srEo,1,2
_s80WD_rLeI,1,2
zrvAPCEyghk,1,1
ltE9T-ilDsw,1,2
twSvd5bQLDw,4,2
iRacK_a-oxo,1,1
EoMNT1TlxGE,1,1
s2CyfAdTNMs,1,2
SdJuuKUTiCU,1,2
2Lt9us6g050,1,1
AJeV5zHhr6Q,1,2
epVb6Kyv0o0,1,2
AoAOn75E0yY,1,2
Jn9jcZilc7w,1,2
D6i7U_99BQY,1,2
Y54m0Ev5X9M,1,1
1thX9Qml0Ks,2,2
b5PI-P8VBuc,1,2
I3YeWOIkdug,1,2
kybenSq0KPo,2,2
ZZuGKsIzJe4,1,1
yUClUI5NHNs,1,1
jeh_jA_VCic,1,2
9r0nBwwMKDM,1,1
aHRkWmeG_KA,1,1
1no94y6wLNU,1,2
I9Jk74XO98M,1,2
z4MCaTh6iBI,2,2
I110eplwNuw,1,1
4LV3tdG-aGk,1,1
8cR_1Qi-tP4,1,1
nEPtXTPUkQk,1,2
KMvwfLQhA_Y,1,2
nSO51Kat_MI,1,1
dQXTNzOA5gU,1,1
3ah0-0WAdr8,1,1
3d47bEQutXs,1,1
1XDpa2HLXV0,3,2
OOG65rSM5fA,6,2
RrFSO62p0jk,1,1
s1D9m2Gkq7s,1,1
sY5MmhLQBng,1,1
yvV18MTCOUM,1,2
-WLHr1_EVtQ,2,2
YdiGEjz5b0Q,1,2
sGqAw7UM6qo,1,2
myRZ_pNB3B0,1,1
OdGtaDjP9F4,1,1
8lYt3VHSpl4,1,2
4vrGO8Pa-s0,1,2
giyaauoKfLo,1,2
FKckk31Ks_8,1,1
VNGFep6rncY,3,2
B7UVfqtfQBc,1,2
tHO1ebNxhVI,2,2
MdZAMSyn_As,3,2
KUNkILSQxHU,1,2
9hZkk73nJ_Y,1,2
1ZB5g9FMMdk,1,2
TbtAgVBwGSU,1,1
oMiayRL7Bec,2,1
XSyLeg45XUw,1,1
W6fsZmD3oXI,1,2
UvLmHziKJ18,1,1
OYfHT-oWdKg,1,2
7IoF9IrZnXU,1,2
hiM48j_NZOU,1,2
Mls2m_oZT6U,1,2
JTpY7MbuWvk,9,2
aL07Wo8ye84,4,2
CI3f6sEEgpM,1,1
FxSjBV86mK0,1,2
N4nwMDZYXTI,2,2
Cq8d5G-CgtU,1,1
TBUQtfeICaE,1,1
3iFjNFRnaqg,1,1
1hcgXXJk_nw,2,1
vgfEVD4ktPw,1,1
wXVYfsdE2Kg,1,1
UNjk5blo614,3,2
IkHKzzLFoI4,1,2
kIeeoeZr2vM,5,1
xAR_1gahG0U,6,2
_zRPE9k9Ito,4,2
gA1OzTiVwe0,5,2
777oOT0dzPc,11,2
AeLkzWyM0QY,2,2
zPLBM_y5PFE,1,2
SAsWFgpvYhA,5,1
s6_KYiLsoV4,1,1
0qyx6eDkrmw,4,2
KnIAAkSNtqo,1,1
_iudkPi4_sY,9,2
2ghRqPuJdQU,4,2
9aUHJ6ijvL4,2,2
21WsFew6ioc,6,2
pYbEVHJvXsg,2,1
bpE0l7Bt7ao,1,2
_QBDgwtO_Xk,25,2
Ki1F1r0-FtI,1,1
pD4pwpbmRe0,1,1
m1iUtWmHvuI,2,2
QZZyYLjTLh8,5,2
3wj48ACMWeI,3,2
kasiov0ytEc,6,2
43vii7vT44I,1,2
l7qosAgxlf0,1,2
tSJ6lH7a6iY,2,2
C8vZzP5yvJw,3,1
5BN7wFT1tVg,2,1
zi4n25gE_Ns,1,1
dvBbxbjFRw4,1,2
TmNSlF7lcaw,4,2
MGk0NkVpElo,1,2
l41qNb2Vr-M,32,2
8ko0DVJkLG0,1,1
81TtRESNd68,13,2
rLt197TrAZ0,7,2
1kemqbA2Gto,3,2
tN9bu6CP318,6,1
eNABl0NJArA,1,1
gUXXhcEd1Mk,1,2
jldkiBN2jfI,2,2
Nfd6rp2ucas,2,1
FG_eQDkokks,3,1
YvDyice4u-U,18,2
OtqoiDi3yrM,2,1
pvI8W_L9h10,2,2
vPTgJkW6CL8,2,2
y9ZRj_a_2qM,1,2
jq3tJXsDZUs,3,2
dwC5TEmE6H0,1,1
tzh0jQvxgQU,9,1
5MCdlgPZFJ4,8,2
FsGhOPzxMuE,2,2
dW83U4bkC_k,5,2
PIYVwqHM488,4,2
EymDXH-u8Y0,1,1
YpG0p6qRQZk,1,1
dipmMJ7I8bc,1,1
dzkzOYxYUTw,1,1
VgFPaZ5PV44,1,1
YVWBw6V2R6A,1,1
uwyau49NVjI,1,1
BWNyucoCH3o,9,2
JiVxS2LZMII,3,2
q4dIomZ89eo,1,1
GKbFw_x6ku4,2,2
mZWsz80XpcU,1,2
AwOJJHfVWy4,2,2
spdUqbuCUiE,1,2
tOHUwwP6LLs,3,2
Z7Sqb5vPIms,1,1
0BNNjZpMKRI,1,1
XpzOSAZV7yM,2,2
cusyS0xV3Tg,1,1
KRpNVVornOg,2,1
fCL84lpQcIU,1,1
SEDm2wMdacA,2,2
acVxgMKLo1s,2,2
2dB0iMy4KAI,1,2
U-iVnenamls,1,2
rE6N0X7th4k,2,2
yyAKVaQvlvQ,3,2
UTVbZ-Df7AQ,1,2
10UOBckXZ_4,1,1
rq-nNfUrgNc,1,2
42e5UjGJ7I0,1,2
UsoOyTPacyE,1,2
xJjqsnE-vp4,2,2
KQ7h0-kq-kU,7,2
uf7hQAB6drQ,2,2
BfubdVY4vg4,1,1
7E-qxymVSeQ,1,1
rH40knsxyNY,1,2
pjsRNFmUBuA,1,1
L2JR99KXkKc,1,1
RsOUXqSh2xs,3,1
mH9w1ryNAp8,10,1
L4GduUWv-mA,1,2
AAF6tqDncGY,2,2
yo0M4Dd96Qo,3,2
QKbQp-K3Acw,1,1
HXC5gAAMuxg,1,2
0amILB9Z7gU,1,1
HCspfXkskKI,2,1
se4aXahuGrw,4,2
ML1_rCrKn_E,1,2
R_IWReOz8YE,1,2
au3Zzf33vXw,3,2
DJ4ZTFBcDf4,4,2
jBpMe36GoW0,2,2
jPRDv9eqzEU,2,2
hPkunT54VuE,1,2
jtl5XK7QP38,3,2
tzZGuFJTs1I,2,2
Fmyw02dU2TE,1,1
qHVPJJ33b2M,1,1
m8WMtfycYsQ,1,1
dYXNC0zEC2o,1,1
D4Yov7VPlPY,1,1
h7gL4c9d8ic,3,1
kmuoBlH63V0,2,1
T8VNhbXK7AU,2,2
2kMswKahYug,2,2
F2xv4fba65U,2,1
hQx76WemmQg,10,2
6wm-NtMkqz8,11,2
r1AP6TCvdTA,2,2
-k3B-tw2sB0,8,2
Y2d2HLdBF88,1,2
FBX7yOYNEaU,1,2
Hoge9D45ysU,1,1
MMNvBtQw3os,1,1
l6WSoijb8cY,4,1
kyG_tmCaA_4,1,1
