depth,query,recommendations,root_video,search,search_depth,search_splits,video_id
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,-7emxMx8CNw
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,-PkjWdDomI8
6,jim clyburn,"['HGgTsD6HOJY', 'MWtb503RVMo']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,-rS3CJ8jkA0
7,jim clyburn,"['ku-1okyplds', 'E5gFrXfJ6gQ']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,0HaDoAq0XPI
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,0HqmpziA4QY
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,0MJj6CVNbo0
2,jim clyburn,"['ht01OwvVyGU', 'o0QIsCWTO64']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,0dFWIStkGEM
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,18Wl6ws9Als
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,1DSruRQ2MNs
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,1LgSEkCuTEg
1,jim clyburn,"['5CPs7f7kYHA', 'BZbunmaU-60']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,1MKgZrC6_cA
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,1MpGDPsMV6M
6,jim clyburn,"['RUwdSEF0vkA', 'aDONS4NUVX4']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,1T4tiyQItG8
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,27Ux38oVtQA
8,jim clyburn,[],lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,2JgHdV44H1k
3,jim clyburn,"['JibrlA0gYQc', 'U8g5iRbcXuc']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,2drOGA_nOJ8
6,jim clyburn,"['XyweM3CH-u0', 'HhnxOu1p-W0']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,2oMvtw4aeEY
7,jim clyburn,"['yHcvEzroEZQ', 'ygkqs2aPxkE']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,3UtTJ3hJe44
7,jim clyburn,"['BjY69RCxaM8', 'pvwzOLXAuQ4']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,3ZzuwpzQeaY
7,jim clyburn,"['jIZ9e_Lsg30', '61LSveQ-Skg']",lP99Yyk-Lgk,jim clyburn_lP99Yyk-Lgk,8,2,3eRZp8-1fVA
