name,leaning,url
100-percent-fed-up,R,https://100percentfedup.com/
10news-one,R,https://www.10news.one/
12minutos-com,R,http://www.12minutos.com/
1600-daily,R,https://www.whitehouse.gov/1600daily
24-news,R,http://us24news.com
247-news-media,R,http://247newsmedia.com/
2ndvote,R,https://2ndvote.com/
38-north,C,https://www.38north.org
680-news,C,http://www.680news.com/
70-news,R,https://70news.wordpress.com/
71-republic,R,https://71republic.com/
9-news-australia,R,http://www.9news.com.au/
972-magazine,L,https://972mag.com/
a-voice-for-men,R,https://www.avoiceformen.com/
abc,C,NA
abc-news,L,http://abcnews.go.com/
abc-news-australia,L,https://www.abc.net.au
abc11-eyewitness-news,L,http://abc11.com/
abcnews-us-com,R,http://www.abcnews-us.com/
abort73,R,https://abort73.com
above-the-law,L,http://abovethelaw.com/
abs-cbn-news,C,http://news.abs-cbn.com/
acculturated,R,https://acculturated.com
accuracy-in-academia-aia,R,https://www.academia.org
accuracy-in-media-aim,R,http://www.aim.org/
act-tv,L,http://act.tv
acting-man,R,http://www.acting-man.com/
action-news-3,R,http://actionnews3.com
activist-mommy,R,https://activistmommy.com
addicting-info,L,http://addictinginfo.com
advocate,L,http://www.advocate.com/
advocate-messenger,L,NA
adweek,C,https://www.adweek.com/
aeon,L,https://aeon.co/
affinity-magazine,L,http://affinitymagazine.us/
afp,C,NA
afp-agence-france-presse,C,https://www.afp.com/en/home
africa-news,C,http://www.africanews.com/
african-arguments,L,http://africanarguments.org/
aftonbladet,L,https://www.aftonbladet.se
against-crony-capitialism,R,https://www.ac2news.com
age-of-shitlords,R,https://ageofshitlords.com/
agerpres,C,https://www.agerpres.ro/english
ahram-online,C,http://english.ahram.org.eg/
air-force-times,C,https://www.airforcetimes.com/
airwars,C,https://airwars.org/
akkadian-times,L,http://akkadiantimes.com
akron-beacon-journal,L,http://www.ohio.com/
al-arabiya,C,https://english.alarabiya.net/
al-bawaba,C,http://www.albawaba.com/
al-com-alabama-news,R,https://www.al.com/
al-dia,L,https://aldianews.com
al-hayat,L,http://www.alhayat.com/
al-jazeera,L,http://www.aljazeera.com/
al-jazeera-america,C,NA
al-jazeera-us/canada-news,L,NA
al-majalla,C,http://eng.majalla.com/
al-masdar-news-amn,L,https://www.almasdarnews.com
al-monitor,L,http://www.al-monitor.com/pulse/home.html
al-sura,L,https://al-sura.com
alabama-observer,R,http://alabamaobserver.com/
alabama-political-reporter,C,http://www.alreporter.com
alabama-today,C,https://altoday.com/
alan-guttmacher-institute,L,https://www.guttmacher.org/
alaska-dispatch-news,L,http://www.adn.com/
albany-democrat-herald,C,http://democratherald.com
albany-times-union,L,http://www.timesunion.com/
albuquerque-journal,R,https://www.abqjournal.com/
aleteia,R,https://aleteia.org
all-generalizations-are-false,C,https://www.adfontesmedia.com/
all-news-pipeline,R,http://allnewspipeline.com/
all-thats-fab,L,http://www.allthatsfab.com/
allen-b-west,R,http://www.allenbwest.com/
allen-west-republic,R,http://allenwestrepublic.com/
allgov,C,http://www.allgov.com
alliance-defending-freedom,R,https://www.adflegal.org/
alliance-for-justice-afj,L,https://www.afj.org/
alliance-securing-democracy,C,http://securingdemocracy.gmfus.org/
allied-progress,L,https://alliedprogress.org
alpha-news,R,https://alphanewsmn.com/
alt-news,L,https://www.altnews.in
alternative-media-syndicate,L,http://alternativemediasyndicate.com
alternet,L,http://www.alternet.org/
altnewsmedia-net,R,https://altnewsmedia.net
altright-com,R,https://altright.com/
am-new-york,L,http://www.amny.com/
amandla,L,http://aidc.org.za/amandla-media/
amarillo-globe-news,C,https://www.amarillo.com
amazingnews-net,R,http://www.amazingnews.net/
america-first-action-superpac,R,https://www.a1apac.org
america-magazine,L,http://www.americamagazine.org/
americablog,L,http://americablog.com/
american-action-forum,R,https://www.americanactionforum.org/
american-affairs-journal,R,https://americanaffairsjournal.org
american-bridge-21st-century,L,https://americanbridgepac.org/
american-center-law-justice-aclj,R,https://aclj.org/
american-civil-liberties-union-aclu,L,https://www.aclu.org/
american-college-of-pediatricians,R,https://www.acpeds.org/
american-consequences,R,https://americanconsequences.com
american-conservative,R,NA
american-council-on-science-and-health,R,http://acsh.org/
american-enterprise-institute,R,https://www.aei.org/
american-family-association,R,http://www.afa.net/
american-fans,R,http://americafans.com/
american-firearms-institute,R,http://www.americanfirearms.org
american-flavor,R,http://americanflavor.news/
american-foreign-policy-council,R,http://www.afpc.org/
american-freedom-fighters,R,http://www.americasfreedomfighters.com/
american-greatness,R,https://amgreatness.com
american-heritage,C,http://www.americanheritage.com
american-immigration-council,L,https://www.americanimmigrationcouncil.org
american-independent-institute,L,http://americanindependent.com/
american-institute-for-economic-research,R,https://aier.org
american-journal-review,R,http://www.americanjournalreview.com/
american-legislative-exchange-council-alec,R,https://www.alec.org
american-liberty-report,R,http://www.americanlibertyreport.com
american-lookout,R,https://americanlookout.com/
american-military-news,C,https://americanmilitarynews.com
american-news,R,https://www.americandailynews.org/
american-news-24-7,R,https://www.americandailynews.org/
american-news-hub,R,https://www.americanewshub.com
american-news-x,L,http://americannewsx.com/
american-oversight,L,https://www.americanoversight.org
american-patriot-daily,R,http://www.americanpatriotdaily.com/
american-people-network,R,http://americanpeoplenetwork.com/
american-press-institute-api,C,https://www.americanpressinstitute.org
american-prides,R,http://www.americanprides.org
american-principles-project,R,https://americanprinciplesproject.org/
american-public-media,L,NA
american-renaissance-magazine,R,http://www.amren.com/
american-society-defense-tradition-family-property,R,http://www.tfp.org/
american-spectator,R,https://spectator.org/
american-thinker,R,http://www.americanthinker.com/
american-today,R,http://americantoday.news/
american-truth-seekers,R,http://americantruthseekers.com
american-united-separation-church-state,L,http://www.au.org/
american-updater,R,http://americanupdater.com/
american-web-media-awm,R,http://awm.com/
americans-against-the-tea-party-aattp,L,http://aattp.org/
americans-for-prosperity,R,http://americansforprosperity.org
americas-quarterly,R,http://www.americasquarterly.org/
amity-underground,L,https://amityunderground.com
ammoland,R,http://www.ammoland.com/
amnesty-international,C,https://www.amnesty.org/en/
anadolu-agency,R,https://www.aa.com.tr/en
anews-24-com-american-news,R,http://anews-24.com/
angry-white-men,L,https://angrywhitemen.org
angus-reid-institute,R,http://angusreid.org
anniston-star,L,https://www.annistonstar.com
anti-defamation-league,L,http://www.adl.org/
anti-fascist-news,L,https://antifascistnews.net/
anti-war,R,http://antiwar.com/
aol,L,https://www.aol.com/
ap,C,NA
apm-reports,L,https://www.apmreports.org/
aptn-news,C,NA
aquinas-college-saint,L,NA
ara-news,L,http://aranews.net/
arab-news,R,http://www.arabnews.com/
areo-magazine,L,https://areomagazine.com
argus-leader,R,https://www.argusleader.com
arizona-capitol-times,C,https://azcapitoltimes.com/
arizona-daily-independent,R,https://arizonadailyindependent.com
arizona-daily-star,L,http://tucson.com/
arizona-daily-sun,L,http://azdailysun.com
arizona-republic,R,http://www.azcentral.com/
arkansas-democrat-gazette,R,http://www.arkansasonline.com/
arkansas-times,L,https://www.arktimes.com
armstrong-economics,R,https://www.armstrongeconomics.com
army-times,C,https://www.armytimes.com
arutz-sheva-israel-national-news,R,http://www.israelnationalnews.com/
asharq-al-awsat-2,R,https://aawsat.com/english/
asheville-citizen-times,L,http://www.citizen-times.com/
asia-sentinel,L,https://www.asiasentinel.com/
asia-times,C,http://www.atimes.com/
asian-correspondent,L,https://asiancorrespondent.com/
asian-news-international-ani,C,https://www.aninews.in
associated-press,C,https://apnews.com/
assyrian-international-news-agency,R,http://www.aina.org/
atavist-magazine,L,https://magazine.atavist.com/
atlanta-black-star,L,http://atlantablackstar.com/
atlanta-journal-constitution,L,http://www.ajc.com/
atlantic,L,NA
atlantic-council,C,http://www.atlanticcouncil.org/
atlantic-media,L,http://www.atlanticmedia.com/
attn,L,http://www.attn.com/
aurora-news,R,http://aurora-news.us/
austin-american-statesman,L,http://www.statesman.com/
autostraddle,L,https://www.autostraddle.com/
axiom-news-network,R,http://axiomnewsnetwork.com
axios,L,https://www.axios.com/
backchannel,L,https://backchannel.com/
backed-by-fact,L,http://backedbyfact.com/
balkan-insight,L,https://balkaninsight.com/
ballotpedia,C,https://ballotpedia.org/Main_Page
baltimore-city-paper,L,http://www.citypaper.com/
baltimore-sun,L,http://www.baltimoresun.com/
bangor-daily-news,L,http://bangordailynews.com
banned-information,R,http://bannedinformation.com
baptist-news-global,L,https://baptistnews.com/
bare-naked-islam,R,https://www.barenakedislam.com/
barnstable-patriot,C,NA
barrons,R,https://www.barrons.com
battle-creek-enquirer,L,https://www.battlecreekenquirer.com
battlefords-news-optimist,C,http://www.newsoptimist.ca
bay-area-reporter,L,http://www.ebar.com/
bb4sp,R,http://bb4sp.com/
bbarta24,C,http://en.bbarta24.net/
bbc,L,http://www.bbc.com/news
bbc-news,C,NA
bdnews24,C,http://bdnews24.com/
bearing-arms,R,https://bearingarms.com/
bearing-drift,R,NA
beaware,R,http://www.beaware.one
before-its-news,R,http://beforeitsnews.com/
beijing-review,L,http://www.bjreview.com/
being-liberal,L,https://www.themaven.net/beingliberal
being-libertarian,R,https://beinglibertarian.com/
beliefnet,R,http://www.beliefnet.com
belleville-news-democrat,C,https://www.bnd.com/
bellingcat,C,https://www.bellingcat.com/
berkeleyside,L,http://www.berkeleyside.com
berkshire-eagle,L,http://www.berkshireeagle.com/
better-government-association,C,http://www.bettergov.org/
big-blue-vision,R,http://bigbluevision.org/
big-government-news,R,http://biggovernment.news/index.html
big-league-politics,R,http://bigleaguepolitics.com/
big-news-network,C,https://www.bignewsnetwork.com
big-think,C,https://bigthink.com/
billings-gazette,R,http://billingsgazette.com
billmoyers-com,L,http://billmoyers.com/
biloxi-sun-herald,C,NA
bing-news,L,https://www.bing.com/news
bipartisan-policy-center,R,https://bipartisanpolicy.org
bipartisan-report,L,http://www.bipartisanreport.com/
birmingham-mail,L,http://www.birminghammail.co.uk
bismarck-tribune,C,http://bismarcktribune.com
bitch-media,L,https://bitchmedia.org/
bizpac-review,R,http://www.bizpacreview.com/
black-agenda-report,L,http://blackagendareport.com/
black-genocide,R,http://www.blackgenocide.org/home.html
black-lives-matter,L,http://blacklivesmatter.com/
black-pigeon-speaks,R,http://blackpigeonspeaks.com/
blastingnews,L,http://us.blastingnews.com/
